iter	Passed	Remaining
607	1779	1147
608	1782	1144
609	1785	1141
610	1787	1138
611	1791	1135
612	1794	1132
613	1797	1129
614	1800	1126
615	1803	1123
616	1805	1120
617	1808	1117
618	1811	1115
619	1814	1111
620	1817	1109
621	1820	1106
622	1823	1103
623	1825	1100
624	1828	1097
625	1831	1094
626	1834	1091
627	1837	1088
628	1840	1085
629	1843	1082
630	1846	1079
631	1849	1077
632	1852	1073
633	1855	1071
634	1858	1068
635	1861	1065
636	1864	1062
637	1867	1059
638	1870	1056
639	1873	1053
640	1876	1050
641	1878	1047
642	1881	1044
643	1884	1041
644	1888	1039
645	1891	1036
646	1894	1033
647	1897	1030
648	1900	1027
649	1902	1024
650	1905	1021
651	1908	1018
652	1911	1015
653	1914	1012
654	1916	1009
655	1919	1006
656	1922	1003
657	1926	1001
658	1928	998
659	1931	994
660	1934	992
661	1937	989
662	1940	986
663	1942	983
664	1946	980
665	1948	977
666	1951	974
667	1954	971
668	1957	968
669	1960	965
670	1963	962
671	1965	959
672	1968	956
673	1971	953
674	1974	950
675	1978	948
676	1980	944
677	1984	942
678	1987	939
679	1990	936
680	1992	933
681	1995	930
682	1998	927
683	2001	924
684	2004	921
685	2007	918
686	2010	915
687	2013	912
688	2015	909
689	2018	906
690	2021	903
691	2024	901
692	2027	898
693	2030	895
694	2033	892
695	2036	889
696	2039	886
697	2042	883
698	2045	880
699	2048	877
700	2051	874
701	2054	871
702	2057	869
703	2059	866
704	2062	863
705	2065	860
706	2068	857
707	2071	854
708	2074	851
709	2078	848
710	2081	845
711	2084	843
712	2086	840
713	2089	837
714	2092	834
715	2095	831
716	2098	828
717	2101	825
718	2104	822
719	2107	819
720	2110	816
721	2113	813
722	2116	810
723	2118	807
724	2121	804
725	2124	801
726	2127	798
727	2130	796
728	2133	793
729	2136	790
730	2139	787
731	2142	784
732	2145	781
733	2148	778
734	2151	775
735	2154	772
736	2156	769
737	2159	766
738	2162	763
739	2165	760
740	2168	757
741	2171	755
742	2174	752
743	2177	749
744	2180	746
745	2183	743
746	2186	740
747	2188	737
748	2191	734
749	2194	731
750	2197	728
751	2200	725
752	2203	722
753	2206	719
754	2209	716
755	2212	714
756	2214	711
757	2218	708
758	2220	705
759	2223	702
760	2226	699
761	2230	696
762	2233	693
763	2235	690
764	2238	687
765	2240	684
766	2243	681
767	2246	678
768	2249	675
769	2251	672
770	2254	669
771	2257	666
772	2260	663
773	2263	660
774	2266	657
775	2269	655
776	2272	652
777	2275	649
778	2278	646
779	2280	643
780	2283	640
781	2286	637
782	2289	634
783	2292	631
784	2295	628
785	2298	625
786	2301	622
787	2304	619
788	2307	617
789	2310	614
790	2312	611
791	2315	608
792	2318	605
793	2321	602
794	2324	599
795	2327	596
796	2330	593
797	2333	590
798	2336	587
799	2338	584
800	2341	581
801	2344	578
802	2347	575
803	2350	572
804	2354	570
805	2356	567
806	2360	564
807	2362	561
808	2366	558
809	2368	555
810	2371	552
811	2374	549
812	2377	546
813	2380	543
814	2382	540
815	2386	538
816	2388	535
817	2392	532
818	2394	529
819	2397	526
820	2400	523
821	2403	520
822	2405	517
823	2408	514
824	2411	511
825	2414	508
826	2417	505
827	2420	502
828	2423	499
829	2426	497
830	2429	494
831	2432	491
832	2435	488
833	2438	485
834	2441	482
835	2445	479
836	2447	476
837	2451	473
838	2454	470
839	2457	468
840	2460	465
841	2477	464
842	2479	461
843	2483	458
844	2485	455
845	2488	453
846	2491	450
847	2494	447
848	2497	444
849	2500	441
850	2503	438
851	2506	435
852	2509	432
853	2511	429
854	2514	426
855	2517	423
856	2520	420
857	2523	417
858	2525	414
859	2528	411
860	2531	408
861	2534	405
862	2537	402
863	2539	399
864	2542	396
865	2545	393
866	2548	390
867	2551	388
868	2554	385
869	2557	382
870	2559	379
871	2562	376
872	2565	373
873	2568	370
874	2570	367
875	2574	364
876	2576	361
877	2579	358
878	2582	355
879	2584	352
880	2588	349
881	2590	346
882	2593	343
883	2596	340
884	2599	337
885	2602	334
886	2605	331
887	2608	329
888	2612	326
889	2615	323
890	2618	320
891	2620	317
892	2623	314
893	2626	311
894	2629	308
895	2632	305
896	2635	302
897	2638	299
898	2641	296
899	2644	293
900	2647	290
901	2649	287
902	2652	284
903	2655	281
904	2658	279
905	2661	276
906	2664	273
907	2667	270
908	2670	267
909	2673	264
910	2676	261
911	2679	258
912	2682	255
913	2685	252
914	2688	249
915	2691	246
916	2693	243
917	2697	240
918	2700	238
919	2703	235
920	2706	232
921	2709	229
922	2711	226
923	2714	223
924	2717	220
925	2720	217
926	2723	214
927	2726	211
928	2729	208
929	2732	205
930	2736	202
931	2739	199
932	2742	196
933	2745	194
934	2749	191
935	2751	188
936	2755	185
937	2758	182
938	2761	179
939	2764	176
940	2768	173
941	2771	170
942	2774	167
943	2777	164
944	2780	161
945	2783	158
946	2786	155
947	2789	153
948	2792	150
949	2795	147
950	2798	144
951	2801	141
952	2803	138
953	2806	135
954	2809	132
955	2812	129
956	2814	126
957	2818	123
958	2821	120
959	2824	117
960	2826	114
961	2829	111
962	2833	108
963	2836	105
964	2838	102
965	2841	100
966	2844	97
967	2847	94
968	2851	91
969	2854	88
970	2857	85
971	2859	82
972	2863	79
973	2865	76
974	2868	73
975	2871	70
976	2874	67
977	2877	64
978	2880	61
979	2883	58
980	2886	55
981	2889	52
982	2892	50
983	2895	47
984	2897	44
985	2900	41
986	2903	38
987	2906	35
988	2909	32
989	2912	29
990	2915	26
991	2918	23
992	2921	20
993	2924	17
994	2928	14
995	2931	11
996	2934	8
997	2937	5
998	2940	2
999	2943	0
